"query_id","estrategia","posicion","title","score","relevante"
"Q1","TF-IDF + coseno (léxica)",1,"Patent value prediction in biomedical textiles: A method based on a fusion of machine learning models",0.5114,0
"Q1","TF-IDF + coseno (léxica)",2,"Deep learning for deep learning performance: How much data is needed for segmentation in biomedical imaging?",0.4728,1
"Q1","TF-IDF + coseno (léxica)",3,"Class-aware feature attention-based semantic segmentation on hyperspectral images",0.3392,0
"Q1","TF-IDF + coseno (léxica)",4,"Deep learning–based region merging with adaptive threshold optimization for building segmentation in remote sensing images",0.2987,0
"Q1","TF-IDF + coseno (léxica)",5,"Nuclei segmentation and classification from histopathology images using federated learning for end-edge platform",0.2981,1
"Q1","LSA + coseno (semántica)",1,"Deep learning–based region merging with adaptive threshold optimization for building segmentation in remote sensing images",0.8557,0
"Q1","LSA + coseno (semántica)",2,"Class-aware feature attention-based semantic segmentation on hyperspectral images",0.8506,0
"Q1","LSA + coseno (semántica)",3,"A U-Net model for epidermal segmentation in optical coherence tomography images of actinic keratosis",0.8397,1
"Q1","LSA + coseno (semántica)",4,"Method for building segmentation and extraction from high-resolution remote sensing images based on improved YOLOv5ds",0.8158,0
"Q1","LSA + coseno (semántica)",5,"Nuclei segmentation and classification from histopathology images using federated learning for end-edge platform",0.8042,1
"Q2","TF-IDF + coseno (léxica)",1,"Accuracy assessment of three-dimensional abutment tooth data construction using swept-source optical coherence tomography",0.206,0
"Q2","TF-IDF + coseno (léxica)",2,"Development of a risk prediction model for sepsis-related delirium based on multiple machine learning approaches and an online calculator",0.1564,1
"Q2","TF-IDF + coseno (léxica)",3,"Chinese medical named entity recognition utilizing entity association and gate context awareness",0.1391,0
"Q2","TF-IDF + coseno (léxica)",4,"Predictors of health care utilization in patients with post-acute sequelae of COVID-19 (PASC)",0.1247,0
"Q2","TF-IDF + coseno (léxica)",5,"Psychometric assessment of the Persian translated version of the “medical artificial intlligence readiness scale for medical students”",0.1244,0
"Q2","LSA + coseno (semántica)",1,"Hyperparameter optimization ResNet by improved Beluga Whale Optimization",0.4875,0
"Q2","LSA + coseno (semántica)",2,"Time series segmentation for recognition of epileptiform patterns recorded via microelectrode arrays in vitro",0.4826,0
"Q2","LSA + coseno (semántica)",3,"An explainable and federated deep learning framework for skin cancer diagnosis",0.4693,1
"Q2","LSA + coseno (semántica)",4,"Optimizing Kernel Extreme Learning Machine based on a Enhanced Adaptive Whale Optimization Algorithm for classification task",0.4403,0
"Q2","LSA + coseno (semántica)",5,"A novel spectral transformation technique based on special functions for improved chest X-ray image classification",0.4401,1
"Q3","TF-IDF + coseno (léxica)",1,"Professional identity and its relationships with AI readiness and interprofessional collaboration",0.3433,1
"Q3","TF-IDF + coseno (léxica)",2,"AISIM: evaluating impacts of user interface elements of an AI assisting tool",0.2324,0
"Q3","TF-IDF + coseno (léxica)",3,"Association of healthcare fragmentation with three-year survival among kidney transplant recipients in Colombia",0.2055,0
"Q3","TF-IDF + coseno (léxica)",4,"Approaches for handling imbalanced data used in machine learning in the healthcare field: A case study on Chagas disease database prediction",0.1724,1
