"query_id","query_type","query","strategy","rank","score","title","topic_label","doi","fragment","is_relevant"
"Q1_directa","terminos directos","white box cryptography differential computation attack","TF-IDF + coseno",1,0.5977,"A Secure and Efficient White-Box Implementation of SM4","Otros","https://doi.org/10.3390/e27010001","...erages memory traces to extract secret keys, bypassing countermeasures employed in white-box designs, such as encodings. Although researchers have made great efforts to enhance security against DCA, most solutions considerably decrease algorithmic efficiency. In our approach, the Feistel cipher SM4 is implemented by a s...",1
"Q1_directa","terminos directos","white box cryptography differential computation attack","TF-IDF + coseno",2,0.2669,"Hyperchaotic System-Based PRNG and S-Box Design for a Novel Secure Image Encryption","Estad<U+00ED>stica","https://doi.org/10.3390/e27030299","..., demonstrating its suitability for cryptographic applications. Additionally, a 16 <U+00D7> 16 S-box was constructed based on the hyperchaotic system, ensuring high nonlinearity and strong cryptographic performance. A comparative analysis revealed that the proposed S-box structure outperforms existing designs in terms of secur...",1
"Q1_directa","terminos directos","white box cryptography differential computation attack","TF-IDF + coseno",3,0.2127,"Post-Quantum Security of COPA","Otros","https://doi.org/10.3390/e27090890","...describe how to break the existentially unforgeable under quantum chosen message attack (EUF-qCMA) of COPA. However, these works do not demonstrate the confidentiality of COPA in the quantum setting. This paper fills this gap, considers the indistinguishable under quantum chosen-plaintext attack (IND-qCPA) security for ...",1
"Q1_directa","terminos directos","white box cryptography differential computation attack","TF-IDF + coseno",4,0.2122,"Advances in Quantum Computation in NISQ Era","Otros","https://doi.org/10.3390/e27101074","Sin resumen disponible.",0
"Q1_directa","terminos directos","white box cryptography differential computation attack","TF-IDF + coseno",5,0.1708,"An Innovative Image Encryption Algorithm Based on the DNAS_box and Hyperchaos","Estad<U+00ED>stica","https://doi.org/10.3390/e27030239","This study proposes an innovative image encryption algorithm based on the DNAS_box and hyperchaos. The algorithm dynamically constructs a DNAS_box using 2-bit deoxyribonucleic acid (DNA) coding and 4-bit DNA-like coding, enabling seamless conversion between these two coding schemes. The implementation process comprises ...",1
"Q1_directa","terminos directos","white box cryptography differential computation attack","LSA/SVD + coseno",1,0.588,"Advances in Quantum Computation in NISQ Era","Otros","https://doi.org/10.3390/e27101074","Sin resumen disponible.",0
"Q1_directa","terminos directos","white box cryptography differential computation attack","LSA/SVD + coseno",2,0.5666,"Multi-Function Computation over a Directed Acyclic Network","Otros","https://doi.org/10.3390/e27121225","The problem of multi-function computation over a directed acyclic network is investigated in this paper. In such a network, a sink node is required to compute with zero error multiple vector-linear functions, where each vector-linear function has distinct inputs generated by multiple source nodes. The computing rate tup...",0
"Q1_directa","terminos directos","white box cryptography differential computation attack","LSA/SVD + coseno",3,0.5652,"A Secure and Efficient White-Box Implementation of SM4","Otros","https://doi.org/10.3390/e27010001","...erages memory traces to extract secret keys, bypassing countermeasures employed in white-box designs, such as encodings. Although researchers have made great efforts to enhance security against DCA, most solutions considerably decrease algorithmic efficiency. In our approach, the Feistel cipher SM4 is implemented by a s...",1
"Q1_directa","terminos directos","white box cryptography differential computation attack","LSA/SVD + coseno",4,0.5474,"On the Storage<U+2013>Communication Trade-Off in Graph-Based X-Secure T-Private Linear Computation","Otros","https://doi.org/10.3390/e27090975","...ation into a quantum one to achieve a superdense coding gain by leveraging the idea of N-Sum Box abstraction of quantum <U+201C>over-the-air<U+201D> computing. Keywords: linear computation;communication efficiency;storage efficiency;cross subspace alignment;private information retrieval",0
"Q1_directa","terminos directos","white box cryptography differential computation attack","LSA/SVD + coseno",5,0.5198,"Graph-Theoretic Limits of Distributed Computation: Entropy, Eigenvalues, and Chromatic Numbers <U+2020>","Estad<U+00ED>stica","https://doi.org/10.3390/e27070757","We address the problem of the distributed computation of arbitrary functions of two correlated sources, X1 and X2, residing in two distributed source nodes, respectively. We exploit the structure of a computation task by coding source characteristic graphs (and multiple instances using the n-fold OR product of this grap...",0
