consulta_id,consulta,doi,titulo,resumen_corto,n_metodos,mejor_posicion,relevante
Q1,large language models,10.1007/s10462-026-11534-5,A survey on large language models with multilingualism: recent advances and new frontiers,"The rapid development of Large Language Models (LLMs) demonstrates remarkable multilingual capabilities in natural language processing, attracting global attention in both academia and industry. To mitigate potential discrimination and enhance the overall usab",4,7.0,1.0
Q1,large language models,10.1007/s10462-025-11464-8,Simulation of teaching behaviours in intelligent tutoring systems: a review using large language models,"Intelligent Tutoring Systems (ITS) and allied digital platforms now constitute core infrastructure in many classrooms, where they automate formative assessment, personalise pacing and supply fine-grained analytics that would otherwise exceed human capacity. Ag",3,5.0,1.0
Q1,large language models,10.1007/s10462-025-11222-w,Building intelligence identification system via large language model watermarking: a survey and beyond,"Large Language Models (LLMs) are increasingly integrated into diverse industries, posing substantial security risks due to unauthorized replication and misuse. To mitigate these concerns, robust identification mechanisms are widely acknowledged as an effective",2,7.0,1.0
Q1,large language models,10.1007/s10462-025-11454-w,Hallucination to truth: a review of fact-checking and factuality evaluation in large language models,"Large language models (LLMs) are trained on vast and diverse internet corpora that often include inaccurate or misleading content. Consequently, LLMs can generate misinformation, making robust fact-checking essential. This review systematically analyzes how LL",2,9.0,1.0
Q1,large language models,10.1007/s10462-025-11474-6,Watermarking techniques for large language models: a survey,"With the rapid advancement and extensive application of artificial intelligence technology, large language models (LLMs) are extensively used to enhance production, creativity, learning, and work efficiency across various domains. However, the abuse of LLMs al",1,10.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11241-7,"A review of LLMs and their applications in the architecture, engineering and construction industry","During the past decade, there has been rapid emergence, continuous development and advancements in the field of Artificial Intelligence (AI), and a broad adaptation ofLarge Language Models (LLMs) in a wide variety of application domains transforming and stream",4,3.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11368-7,A survey on deep learning fundamentals,"Deep learning, driven by big data and graphic processing units, has garnered significant attention across various domains. The flexibility of network architectures, combined with their diverse components, has allowed deep learning techniques to be applied acro",3,2.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11279-7,Multigroup cooperative evolutionary optimization algorithm combined with quantum entanglement for cross-field applications,"Swarm intelligence algorithms are a class of bionic probabilistic heuristic search methods that are inspired by the collective behaviors of biological agents. In this paper, a multigroup cooperative evolutionary optimization algorithm is proposed by referring ",3,3.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11398-1,A systematic review of multi-modal large language models on domain-specific applications,"While Large Language Models (LLMs) have shown remarkable proficiency in text-based tasks, they struggle to interact effectively with the more realistic world without the perceptions of other modalities such as visual and audio. Multi-modal LLMs, which integrat",3,8.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11347-y,Applications of machine learning for computer-aided diagnosis of Parkinson’s disease: progress and benchmark case study,Machine learning (ML) has emerged as a vital tool for the diagnosis of Parkinson’s Disease (PD). This study presents a comprehensive review on the applications of ML for computer-aided diagnosis (CAD) of PD. We conducted a comprehensive review by searching art,2,3.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11381-w,"Quantum computing revolution in healthcare: a systematic review of applications, issues and future directions","Conventional treatment methods make even the most basic healthcare issues more complicated, which in turn increases the number of parties involved. Classical computing lacks the speed and accuracy needed for effective stakeholder collaboration in COVID-19 heal",2,4.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-025-11444-y,A comprehensive review of theoretical concepts and advancements in physics-informed neural networks with applications in structural engineering,"Structural engineering (SE) is a diverse field with numerous applications, including computational mechanics, structural simulation, and topology optimization, all governed by fundamental physical principles and typically addressed through classical numerical ",2,4.0,1.0
Q3,artificial intelligence applications,10.1007/s10462-026-11500-1,"Theory, development, and applications of zeroing neural network: a review",The zeroing neural network (ZNN) possesses core characteristics such as a simple architecture and fast response speed. These advantages have earned it widespread research attention and spurred the generation of high-quality outcomes in related studies. This pa,2,6.0,1.0
